season,prediction_week,prediction_date,prediction_time,game_id,team,opponent,is_home,current_wins,current_losses,current_ties,games_played_entering,games_remaining,expected_remaining_wins,projected_final_win_equiv,projected_final_loss_equiv,actual_wins,actual_losses,actual_ties,actual_games,actual_win_equiv,win_equiv_error,abs_win_equiv_error,rounded_projected_wins,rounded_projected_losses,rounded_projected_record
2025,18.0,2026-01-04,1:00PM,2025_18.0_2026-01-04_1:00PM_Cleveland Browns_at_Cincinnati Bengals,Cincinnati Bengals,Cleveland Browns,1,6,10,0,16,1,0.7110771478519757,6.7110771478519755,10.288922852148024,6,11,0,17,6.0,0.7110771478519755,0.7110771478519755,7,10,7-10
2025,18.0,2026-01-04,4:25PM,2025_18.0_2026-01-04_4:25PM_Kansas City Chiefs_at_Las Vegas Raiders,Kansas City Chiefs,Las Vegas Raiders,0,6,10,0,16,1,0.639204361061493,6.639204361061493,10.360795638938507,6,11,0,17,6.0,0.639204361061493,0.639204361061493,7,10,7-10
2025,18.0,2026-01-04,1:00PM,2025_18.0_2026-01-04_1:00PM_New Orleans Saints_at_Atlanta Falcons,New Orleans Saints,Atlanta Falcons,0,6,10,0,16,1,0.3981412652057904,6.3981412652057905,10.60185873479421,6,11,0,17,6.0,0.3981412652057905,0.3981412652057905,6,11,6-11
2025,18.0,2026-01-04,4:25PM,2025_18.0_2026-01-04_4:25PM_Washington Commanders_at_Philadelphia Eagles,Washington Commanders,Philadelphia Eagles,0,4,12,0,16,1,0.3565372283639004,4.356537228363901,12.643462771636099,5,12,0,17,5.0,-0.6434627716360994,0.6434627716360994,4,13,4-13
2025,18.0,2026-01-04,1:00PM,2025_18.0_2026-01-04_1:00PM_Cleveland Browns_at_Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals,0,4,12,0,16,1,0.2888282003095945,4.288828200309594,12.711171799690405,5,12,0,17,5.0,-0.7111717996904057,0.7111717996904057,4,13,4-13
2025,18.0,2026-01-04,1:00PM,2025_18.0_2026-01-04_1:00PM_Dallas Cowboys_at_New York Giants,New York Giants,Dallas Cowboys,1,3,13,0,16,1,0.4341751697498644,3.4341751697498646,13.565824830250136,4,13,0,17,4.0,-0.5658248302501354,0.5658248302501354,3,14,3-14
2025,18.0,2026-01-04,4:25PM,2025_18.0_2026-01-04_4:25PM_Arizona Cardinals_at_Los Angeles Rams,Arizona Cardinals,Los Angeles Rams,0,3,13,0,16,1,0.2273223880817129,3.227322388081713,13.772677611918287,3,14,0,17,3.0,0.227322388081713,0.227322388081713,3,14,3-14
2025,18.0,2026-01-04,1:00PM,2025_18.0_2026-01-04_1:00PM_Tennessee Titans_at_Jacksonville Jaguars,Tennessee Titans,Jacksonville Jaguars,0,3,13,0,16,1,0.2085609597497386,3.2085609597497387,13.79143904025026,3,14,0,17,3.0,0.20856095974973865,0.20856095974973865,3,14,3-14
2025,18.0,2026-01-04,4:25PM,2025_18.0_2026-01-04_4:25PM_New York Jets_at_Buffalo Bills,New York Jets,Buffalo Bills,0,3,13,0,16,1,0.1871488626720291,3.187148862672029,13.812851137327971,3,14,0,17,3.0,0.18714886267202901,0.18714886267202901,3,14,3-14
2025,18.0,2026-01-04,4:25PM,2025_18.0_2026-01-04_4:25PM_Kansas City Chiefs_at_Las Vegas Raiders,Las Vegas Raiders,Kansas City Chiefs,1,2,14,0,16,1,0.3607968689188686,2.3607968689188685,14.639203131081132,3,14,0,17,3.0,-0.6392031310811315,0.6392031310811315,2,15,2-15
